Date,File,Words,CharsWord,CharsWhite
2018-01-18T13:51:31Z,00-scratch.Rmd,267,1248,349
2018-01-18T13:51:31Z,01-prospectus.Rmd,155,996,262
2018-01-18T13:51:31Z,02-specific-aims.Rmd,1049,5988,1318
2018-01-18T13:51:31Z,03-significance.Rmd,2401,13605,2650
2018-01-18T13:51:31Z,04-hypotheses.Rmd,656,3695,1120
2018-01-18T13:51:31Z,05-methods.Rmd,1664,8681,2782
2018-01-18T13:51:31Z,06-outcomes.Rmd,501,2670,563
2018-01-18T13:51:31Z,07-analysis.Rmd,3099,16609,3998
2018-01-18T13:51:31Z,10-aim1-part.Rmd,11,70,37
2018-01-18T13:51:31Z,11-aim1-notebook.Rmd,400,1934,566
2018-01-18T13:51:31Z,12-aim1-notebook.Rmd,2626,13471,3251
2018-01-18T13:51:31Z,15-aim1-notebook.Rmd,935,4508,1042
2018-01-18T13:51:31Z,20-aim2-part.Rmd,9,63,35
2018-01-18T13:51:31Z,21-aim1-notebook.Rmd,5,24,79
2018-01-18T13:51:31Z,90-appendix.Rmd,716,3783,3391
2018-01-18T13:51:31Z,99-references.Rmd,0,0,0
