Date,File,Words,CharsWord,CharsWhite
2018-03-23T18:13:16Z,01-prospectus.Rmd,153,981,593
2018-03-23T18:13:16Z,02-specific-aims.Rmd,819,4603,1173
2018-03-23T18:13:16Z,03-significance.Rmd,1874,10679,2250
2018-03-23T18:13:16Z,04-hypotheses.Rmd,387,2177,704
2018-03-23T18:13:16Z,05-methods.Rmd,276,1495,553
2018-03-23T18:13:16Z,06-outcomes.Rmd,501,2670,574
2018-03-23T18:13:16Z,07-analysis.Rmd,1105,5787,1451
2018-03-23T18:13:16Z,10-aim1-part.Rmd,11,70,37
2018-03-23T18:13:16Z,11-aim1-notebook.Rmd,1625,8366,2979
2018-03-23T18:13:16Z,12-aim1-notebook.Rmd,3259,17406,4679
2018-03-23T18:13:16Z,15-aim1-notebook.Rmd,3572,17978,4890
2018-03-23T18:13:16Z,18-entropy.Rmd,5,32,79
2018-03-23T18:13:16Z,20-aim2-part.Rmd,9,63,35
2018-03-23T18:13:16Z,21-aim1-notebook.Rmd,376,1876,503
2018-03-23T18:13:16Z,22-referent-selection.Rmd,31,140,103
2018-03-23T18:13:16Z,80-scratch.Rmd,337,1560,722
2018-03-23T18:13:16Z,81-test.Rmd,479,2343,633
2018-03-23T18:13:16Z,90-appendix.Rmd,1715,8703,4880
2018-03-23T18:13:16Z,98-colophon.Rmd,244,1210,361
2018-03-23T18:13:16Z,99-references.Rmd,3,30,10
