Date,File,Words,CharsWord,CharsWhite
2017-11-14T17:02:11Z,00_scratch.Rmd,292,1348,400
2017-11-14T17:02:11Z,01-prospectus.Rmd,155,996,262
2017-11-14T17:02:11Z,02-specific-aims.Rmd,1049,5988,1318
2017-11-14T17:02:11Z,03-significance.Rmd,2401,13605,2650
2017-11-14T17:02:11Z,04-hypotheses.Rmd,656,3695,1120
2017-11-14T17:02:11Z,05-methods.Rmd,1664,8681,2782
2017-11-14T17:02:11Z,06-outcomes.Rmd,501,2670,563
2017-11-14T17:02:11Z,07-analysis.Rmd,3099,16609,3998
2017-11-14T17:02:11Z,10_aim1_part.Rmd,11,70,37
2017-11-14T17:02:11Z,11_aim1_notebook.Rmd,257,1251,388
2017-11-14T17:02:11Z,12_aim1_notebook.Rmd,795,3957,1038
2017-11-14T17:02:11Z,15_aim1_notebook.Rmd,554,2722,650
2017-11-14T17:02:11Z,90-appendix.Rmd,716,3783,3391
2017-11-14T17:02:11Z,99-references.Rmd,0,0,0
